Profile,Page Name,Logo,Angle,Variation,Headline,Body,Link Headline,Link Description,Image Idea
Early Adopter,CollectData.io,CD_ICON.png,Exclusivity,1,Got Ray Ban Metas? Get Paid for your footage.,Download our app and join an exclusive group getting paid to record everyday chores. Limited spots for our launch study.,Got Ray-Ban Metas? Get paid.,Join the exclusive launch group.,"Person wearing Ray-Ban Metas holding phone showing app, with a ""VIP"" or velvet rope visual element. Exclusive club vibe."
Early Adopter,CollectData.io,CD_ICON.png,Exclusivity,2,Only Meta glasses owners qualify. Record chores. Get paid.,"We're selecting Ray-Ban Meta users for a paid research study. Download the app, film simple tasks, earn premium payouts.",Record Chores. Get paid.,Download the app. Start earning.,"Close-up of Ray-Ban Metas on a face with a ""Selected"" or checkmark badge overlay. Clean, minimal background."
Early Adopter,CollectData.io,CD_ICON.png,Exclusivity,3,Ray-Ban Meta owners get paid to film chores. 50 spots left. ,"Download our app and claim your spot. Record everyday chores with your glasses, earn cash. First-come, first-served.",Limited spots. Real payouts.,Download now before it fills up.,"Progress bar showing ""75% full"" with Ray-Ban Metas in foreground. Urgency visual — countdown or filling meter."
Early Adopter,CollectData.io,CD_ICON.png,Contribution,4,Wear Meta Glasses. Train Robots. Get Paid.,"Download our app and record everyday chores. Your first-person video teaches robots to help seniors live independently. And yes, you get paid.",Train AI. Get paid.,Download the app. Start contributing.,"Split image: left side person wearing Metas folding laundry, right side friendly robot helping elderly person. Connection arrow between them."
Early Adopter,CollectData.io,CD_ICON.png,Contribution,5,Got Ray-Ban Metas? Help build AI that cares for people.,"Download our app, film simple tasks with your glasses, and get paid. Your footage trains elder care robotics.",Help build AI that cares.,Download the app. Make an impact.,Warm image of robot hands gently helping elderly hands with a task. Ray-Ban Metas subtly visible in corner or reflection.
Early Adopter,CollectData.io,CD_ICON.png,Contribution,6,Ray-Ban Meta owners: Your POV is training data. Get paid for it.,"Researchers need first-person video to build helpful AI. Download our app, record simple tasks with your glasses, earn cash.",Your POV pays.,Download the app. Start earning.,"First-person POV shot of hands folding laundry — as if through the glasses. Data/code overlay to show ""this is training data."""
Lifestyle Streamer,CollectData.io,CD_ICON.png,Monetize What You Already Do,1,Already filming with your Ray-Ban Metas? Get paid for it.,Download our app and turn everyday clips into cash. Recording your life - now worth money.,Film with your glasses. Get paid.,Download the app. Start earning.,"Person smiling wearing Ray-Ban Metas, casually doing laundry. Money/cash graphics floating up from the action."
Lifestyle Streamer,CollectData.io,CD_ICON.png,Monetize What You Already Do,2,Your Ray-Ban Meta clips are worth money. Seriously.,Download our app and get paid for the stuff you're already filming. Simple tasks like folding laundry - real money.,Get paid for what you capture.,Download the app. Cash out.,"Phone screen showing video thumbnail of someone folding laundry, with dollar amount overlay ($30). Ray-Ban Metas next to phone."
Lifestyle Streamer,CollectData.io,CD_ICON.png,Monetize What You Already Do,3,Ray-Ban Meta owners: Film your day. Get Paid.,Download our app and earn cash for recording everyday chores. You're already wearing the glasses - might as well get paid. Your videos train AI and robotics.,Film your day. Get paid.,Download the app. Start earning.,"Hands-free lifestyle shot — person wearing Metas doing chores with both hands full, looking happy. Casual, candid feel."
Lifestyle Streamer,CollectData.io,CD_ICON.png,Everyday Tasks,4,Got Ray-Ban Metas? Film chores. Get paid.,Download our app and earn cash for recording simple tasks — like folding laundry. Stuff you already do is valuable for training AI and robotics.,Chores pay now.,Download the app. Start earning.,"Bright, clean laundry room. Person wearing Ray-Ban Metas folding colorful towels. Simple, relatable domestic scene."
Lifestyle Streamer,CollectData.io,CD_ICON.png,Everyday Tasks,5,Folding laundry pays now. Your Ray-Ban Metas make it happen.,Download our app and record everyday chores with your glasses. Real money for videos to train AI.,Folding laundry pays now.,Download the app. Get paid.,Close-up of hands folding a warm towel fresh from dryer. Ray-Ban Metas visible in reflection of washing machine door.
Lifestyle Streamer,CollectData.io,CD_ICON.png,Everyday Tasks,6,Got Ray-Ban Metas? Your boring routine just got profitable.,"Download our app, film the chores you already do, get paid. Your videos train AI and robotics.",Got Ray-Ban Metas? Your routine pays now.,Download the app. Start earning.,"Person wearing Metas with an exaggerated happy expression while holding a laundry basket. Playful, tongue-in-cheek vibe."
The Gadget Collector,CollectData.io,CD_ICON.png,Justify Your Purchase,1,Make your Ray Ban Metas pay you back. Here's how.,"Download our app, record everyday chores with your glasses, and earn real cash. Your $300 investment just started paying back.",Make your glasses pay you back.,Download the app. Start earning.,"Ray-Ban Metas on a table next to a receipt showing $299 crossed out, with cash/money growing next to it. ROI visual."
The Gadget Collector,CollectData.io,CD_ICON.png,Justify Your Purchase,2,Spent $300+ on Ray-Ban Metas? Start earning it back.,Download our app and get paid to film simple tasks. Your glasses aren't just cool — they're an income stream.,Earn back what you spent.,Download the app. Get paid.,"Side-by-side: Ray-Ban Metas box/packaging on left, stack of cash on right. Arrow pointing from glasses to money."
The Gadget Collector,CollectData.io,CD_ICON.png,Justify Your Purchase,3,Ray-Ban Metas: The gadget that pays you back.,"Download our app and turn your glasses into a side hustle. Film everyday chores, earn cash. ROI on your face.",Your glasses work for you now.,Download the app. Start earning.,Person wearing Ray-Ban Metas with a smug/satisfied smile. Small dollar signs or coins subtly raining down. Confident energy.
The Gadget Collector,CollectData.io,CD_ICON.png,Do Cool Stuff,4,Got Ray-Ban Metas? Here's a new way to use them — and get paid.,"Download our app and record chores for AI research. Your first-person footage trains robots. Plus, cash.",New use case: get paid.,Download the app. Try it out.,"Ray-Ban Metas with a glowing ""NEW"" badge or unlock icon. Futuristic but approachable. Feature unlock aesthetic."
The Gadget Collector,CollectData.io,CD_ICON.png,Do Cool Stuff,5,Your Ray-Ban Metas just unlocked a new feature: income.,"Download our app, film everyday chores, get paid. Your glasses train AI and robotics.",Unlock paid tasks.,Download the app. Start earning.,"Phone notification mockup: ""New feature unlocked: Get Paid"" with Ray-Ban Metas icon. Clean UI aesthetic."
The Gadget Collector,CollectData.io,CD_ICON.png,Do Cool Stuff,6,Ray-Ban Meta owners: Get paid to train robots with your glasses.,"Download our app and record simple tasks. Your footage teaches AI. Your wallet gets heavier. Pretty cool, right?",Train robots. Get paid.,Download the app. See how it works.,"Cool split: person wearing Metas on one side, sleek robot learning on the other. Tech-forward, futuristic but friendly."
